quarter_start__date,quarter_label,transactions_total__LR__count,price_avg__LR__gbp,price_median__LR__gbp,price_min__LR__gbp,price_max__LR__gbp,boe_house_purchase__LPMVTVX__count,boe_remortgage__LPMB4B3__count,boe_total_secured_lending__LPMB3C8__count,boe_mfi_total_approvals__LPMZ3UP__count,mlar_gross_advances__MLAR_1_21_C_1__gbp,mlar_net_advances__MLAR_1_21_C_2__gbp,mlar_new_commitments__MLAR_1_21_C_3__gbp,mlar_imp_repayment__MLAR_1_32_C_3__pct,mlar_imp_interest_only__MLAR_1_32_C_4__pct,mlar_new_house_purchase__MLAR_1_33_C_29__gbp,mlar_new_remortgage__MLAR_1_33_C_30__gbp
2015-07-01,2015Q3,281615,305961.34,210000.00,100.00,96652091.00,71414.0000000000000000000000,40871.3333333333333333333333,124182.6666666666666666666667,115011.3333333333333333333333,50962941000.000000000000000000,11076826000.000000000000000000,52370037000.000000000000000000,0.200,0.955,66010000.000000000000000000,27838000.000000000000000000
2015-10-01,2015Q4,285111,302670.06,210000.00,100.00,225000000.00,70599.0000000000000000000000,40544.0000000000000000000000,123616.6666666666666666666667,113304.6666666666666666666667,51715687000.000000000000000000,11533145000.000000000000000000,47878629000.000000000000000000,0.277,0.927,64782000.000000000000000000,29076000.000000000000000000
2016-01-01,2016Q1,287740,297868.59,207000.00,100.00,74937156.00,71696.3333333333333333333333,41557.0000000000000000000000,126217.3333333333333333333333,116348.3333333333333333333333,49168827000.000000000000000000,8261467000.000000000000000000,48459794000.000000000000000000,0.266,0.818,61990000.000000000000000000,31228000.000000000000000000
2016-04-01,2016Q2,214269,300816.03,215000.00,1.00,96840522.00,67389.0000000000000000000000,44052.6666666666666666666667,124508.0000000000000000000000,117076.3333333333333333333333,49451519000.000000000000000000,11769157000.000000000000000000,58911601000.000000000000000000,0.288,0.821,58485000.000000000000000000,33890000.000000000000000000
2016-07-01,2016Q3,272365,310697.54,218000.00,100.00,140000000.00,62769.0000000000000000000000,43078.6666666666666666666667,118744.0000000000000000000000,111942.0000000000000000000000,55154118000.000000000000000000,13074949000.000000000000000000,52316537000.000000000000000000,0.280,0.766,61704000.000000000000000000,31812000.000000000000000000
2016-10-01,2016Q4,271898,343724.84,217999.50,100.00,370000000.00,68207.3333333333333333333333,46211.3333333333333333333333,128159.0000000000000000000000,120650.6666666666666666666667,53377318000.000000000000000000,11077445000.000000000000000000,52295012000.000000000000000000,0.252,0.731,61391000.000000000000000000,31574000.000000000000000000
2017-01-01,2017Q1,236467,342531.12,215000.00,100.00,257240000.00,68052.3333333333333333333333,44451.0000000000000000000000,126493.3333333333333333333333,120093.3333333333333333333333,51312766000.000000000000000000,9530479000.000000000000000000,53528099000.000000000000000000,0.244,0.712,55632000.000000000000000000,36765000.000000000000000000
2017-04-01,2017Q2,263539,342382.19,221000.00,100.00,280000000.00,66183.0000000000000000000000,44478.3333333333333333333333,124439.6666666666666666666667,116433.0000000000000000000000,54399547000.000000000000000000,12093575000.000000000000000000,60556964000.000000000000000000,0.294,0.692,61935000.000000000000000000,31647000.000000000000000000
2017-07-01,2017Q3,286312,349831.42,230000.00,100.00,594300000.00,67253.6666666666666666666667,46986.0000000000000000000000,128391.3333333333333333333333,119225.0000000000000000000000,61577351000.000000000000000000,16140568000.000000000000000000,59968336000.000000000000000000,0.294,0.678,61692000.000000000000000000,32300000.000000000000000000
2017-10-01,2017Q4,281168,351812.25,225000.00,100.00,300000000.00,64378.0000000000000000000000,51147.6666666666666666666667,129562.3333333333333333333333,121557.0000000000000000000000,60075196000.000000000000000000,12851121000.000000000000000000,56304081000.000000000000000000,0.347,0.645,60229000.000000000000000000,33646000.000000000000000000
2018-01-01,2018Q1,227712,354423.31,224950.00,100.00,569200000.00,63974.3333333333333333333333,46650.3333333333333333333333,124533.6666666666666666666667,115713.6666666666666666666667,53541309000.000000000000000000,9287589000.000000000000000000,52709025000.000000000000000000,0.325,0.637,54996000.000000000000000000,38099000.000000000000000000
2018-04-01,2018Q2,252059,343852.92,227000.00,100.00,325169089.00,64784.3333333333333333333333,49904.6666666666666666666667,128325.0000000000000000000000,117645.3333333333333333333333,58083805000.000000000000000000,13818277000.000000000000000000,64484456000.000000000000000000,0.656,0.623,57919000.000000000000000000,35239000.000000000000000000
2018-07-01,2018Q3,276346,359171.65,235000.00,100.00,448500000.00,65857.0000000000000000000000,48880.0000000000000000000000,129751.3333333333333333333333,119157.3333333333333333333333,64827490000.000000000000000000,13808476000.000000000000000000,64182163000.000000000000000000,0.666,0.629,59385000.000000000000000000,34384000.000000000000000000
2018-10-01,2018Q4,281422,348665.90,230000.00,100.00,302000000.00,65838.0000000000000000000000,48883.0000000000000000000000,128711.3333333333333333333333,118548.6666666666666666666667,63898164000.000000000000000000,13830063000.000000000000000000,59104729000.000000000000000000,0.684,0.654,58574000.000000000000000000,35344000.000000000000000000
2019-01-01,2019Q1,221903,367603.53,225000.00,100.00,494400000.00,63804.0000000000000000000000,48890.6666666666666666666667,127457.3333333333333333333333,118786.0000000000000000000000,54692191000.000000000000000000,9336487000.000000000000000000,55240385000.000000000000000000,0.674,0.674,53966000.000000000000000000,38623000.000000000000000000
2019-04-01,2019Q2,244555,341674.18,230000.00,100.00,411500000.00,66037.6666666666666666666667,48204.6666666666666666666667,128730.0000000000000000000000,119492.3333333333333333333333,57106474000.000000000000000000,12700160000.000000000000000000,64093072000.000000000000000000,0.605,0.684,58462000.000000000000000000,33919000.000000000000000000
2019-07-01,2019Q3,269629,360185.00,238000.00,100.00,262890000.00,66509.3333333333333333333333,48668.3333333333333333333333,129416.3333333333333333333333,121108.3333333333333333333333,63980858000.000000000000000000,15465359000.000000000000000000,63705940000.000000000000000000,0.632,0.688,61039000.000000000000000000,31805000.000000000000000000
